sentence,source,href
溪涧岂能留得住，终归大海作波涛。,李忱《瀑布联句》,/mingju/juv_e3f586ac3d18.aspx
沉水卧时烧，香消酒未消。,李清照《菩萨蛮·风柔日薄春犹早》,/mingju/juv_bb74da151f1d.aspx
甚念伤吾生，正宜委运去。,陶渊明《形影神三首》,/mingju/juv_a733895c688e.aspx
眉尖早识愁滋味，娇羞未解论心事。,黄公度《菩萨蛮·眉尖早识愁滋味》,/mingju/juv_4f77f0387657.aspx
万物迎春送残腊，一年结局在今宵。,戴复古《除夜》,/mingju/juv_926f61d9ec5c.aspx
人生若尘露，天道邈悠悠。,阮籍《咏怀八十二首》,/mingju/juv_65dd21a44319.aspx
达是酒中趣，琴上偶然音。,孟浩然《洗然弟竹亭》,/mingju/juv_b8c4f7a3bae6.aspx
积善之家，必有余庆；积不善之家，必有余殃。,《围炉夜话·第十五则》,/mingju/juv_61cfc122b864.aspx
朱唇得酒晕生脸，翠袖卷纱红映肉。,苏轼《寓居定惠院之东杂花满山有海棠一株土人不知贵也》,/mingju/juv_7ef716bbdf1c.aspx
梦好莫催醒，由他好处行。,纳兰性德《菩萨蛮·朔风吹散三更雪》,/mingju/juv_daa251af0909.aspx
游子乍闻征袖湿，佳人才唱翠眉低。,郑谷《鹧鸪》,/mingju/juv_2fc2fa46431b.aspx
晓月坠，宿云微，无语枕频欹。,李煜《喜迁莺·晓月坠》,/mingju/juv_6c1ee9f28f02.aspx
旧时王谢、堂前燕子，飞向谁家。,吴激《人月圆·南朝千古伤心事》,/mingju/juv_74917d177e94.aspx
千年万岁，椒花颂声。,佚名《大唐故昭容上官氏铭》,/mingju/juv_2208dc54a613.aspx
飞鸟没何处，青山空向人。,刘长卿《饯别王十一南游》,/mingju/juv_2372ef2e6ba2.aspx
大王意气尽，贱妾何聊生！,虞姬《和项王歌》,/mingju/juv_0630e40b2a44.aspx
杖策招隐士，荒涂横古今。,左思《招隐二首》,/mingju/juv_4ed069d9b54e.aspx
